Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,00231377469820591",0,"-0,0127754878233389",0,0,0,"1,01495221315766","0,00219108700457214","-3,41543280443358E-19","-4,19526244138738E-05","0,00334202017359529","-6,67452863582383E-20","0,00522539594516251",0,0,0,0,0,0,package://xe/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://xe/meshes/base_link.STL,,xe1-1,than,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
xoay_link,"0,0101810539261378","-4,33680868994202E-18","0,0372884853086085",0,0,0,"0,0515663706143591","3,16260287777223E-05","6,73072593753487E-21","-1,19235452129805E-05","4,71559754664999E-05","4,61157435664693E-21","2,08932208116495E-05",0,0,0,0,0,0,package://xe/meshes/xoay_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://xe/meshes/xoay_link.STL,,xe2-1,trxoay,xoay,xoay_joint,revolute,"0,0210526315789474",0,"0,04",0,0,0,base_link,0,0,-1,0,0,"-3,14","3,14",,,,,,,,
tien_link,"4,57966997657877E-16","1,38777878078145E-17","-0,0250000000000002",0,0,0,"0,005","1,08333333333333E-06","-1,21543031542117E-23","1,72588717750027E-20","1,08333333333333E-06","-4,81401887123301E-23","8,33333333333334E-08",0,0,0,0,0,0,package://xe/meshes/tien_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://xe/meshes/tien_link.STL,,xe3-1,tructien,tien,tien_joint,prismatic,"0,0600000000000004",0,"0,0599999999999999","1,5707963267949",0,"1,5707963267949",xoay_link,0,0,-1,0,0,"-0,05",0,,,,,,,,
tt_link,"-1,08413181210132E-10","3,51801920928096E-15","-0,0154397348342991",0,0,0,"0,0458076189087287","1,88339531345938E-05","-7,74671512771299E-14","1,56071409979358E-14","1,88344191615687E-05","-4,15135390363081E-19","3,26467408523935E-05",0,0,0,0,0,0,package://xe/meshes/tt_link.STL,"0,250980392156863","0,250980392156863","0,250980392156863",1,0,0,0,0,0,0,package://xe/meshes/tt_link.STL,,banhtruoc-1/Tekerlek 66x26-1;banhtruoc-1/bah1-1,tt,tructruoc,tt_joint,continuous,"0,0710526315789475","0,0892341617936377","-0,0169644093310364","1,57079632679491",0,0,base_link,0,0,1,,,,,,,,,,,,
tp_link,"-1,08413208965707E-10","-3,60128593612785E-15","0,0154397348342991",0,0,0,"0,0458076189087287","1,88339531345938E-05","7,74671755422103E-14","-1,56071458383641E-14","1,88344191615687E-05","-5,54484648897981E-19","3,26467408523935E-05",0,0,0,0,0,0,package://xe/meshes/tp_link.STL,"0,250980392156863","0,250980392156863","0,250980392156863",1,0,0,0,0,0,0,package://xe/meshes/tp_link.STL,,banhtruoc-4/Tekerlek 66x26-1;banhtruoc-4/bah1-1,tp,tructruoc,tp_joint,continuous,"0,0710526315789475","-0,0892341617936377","-0,0169644093310364","1,5707963267949",0,0,base_link,0,0,1,,,,,,,,,,,,
sp_link,"1,08413084065617E-10","3,67761376907083E-15","0,015439734834299",0,0,0,"0,0458076189087287","1,88339531345937E-05","7,74671633762884E-14","1,56071430107372E-14","1,88344191615687E-05","5,56399251906813E-19","3,26467408523934E-05",0,0,0,0,0,0,package://xe/meshes/sp_link.STL,"0,250980392156863","0,250980392156863","0,250980392156863",1,0,0,0,0,0,0,package://xe/meshes/sp_link.STL,,banhtruoc-3/Tekerlek 66x26-1;banhtruoc-3/bah1-1,sp,trucsau,sp_joint,continuous,"-0,0689473684210525","-0,0892341617936378","-0,0169644093310364","1,5707963267949",0,0,base_link,0,0,-1,,,,,,,,,,,,
st_link,"1,08413007737784E-10","-4,37844205336546E-15","-0,0154397348342987",0,0,0,"0,0458076189087286","1,88339531345937E-05","-7,74671702078448E-14","-1,56072175192727E-14","1,88344191615687E-05","7,18980246531985E-19","3,26467408523934E-05",0,0,0,0,0,0,package://xe/meshes/st_link.STL,"0,250980392156863","0,250980392156863","0,250980392156863",1,0,0,0,0,0,0,package://xe/meshes/st_link.STL,,banhtruoc-2/Tekerlek 66x26-1;banhtruoc-2/bah1-1,st,trucsau,st_joint,continuous,"-0,0689473684210519","0,0892341617936382","-0,0169644093310359","1,57079632679491",0,0,base_link,0,0,-1,,,,,,,,,,,,
camera_link,"0,005",0,"1,05575270747948E-12",0,0,0,"0,001","1,66666666666667E-08","-6,50521303491301E-25","1,60950377194105E-24","1,66666666666667E-08","-7,09407739845213E-25","1,66666666666667E-08",0,0,0,0,0,0,package://xe/meshes/camera_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://xe/meshes/camera_link.STL,,ww-2,camera,Axis_camera_joint,camera_joint,fixed,"0,10105","0,0033181","-0,005","1,5708",0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
imu_link,"0,00499999999999999","1,73472347597681E-18","4,25403635928578E-13",0,0,0,"0,001","1,66666666666667E-08","3,34807186508228E-24","-4,36609457150569E-24","1,66666666666667E-08","9,21090678834997E-25","1,66666666666667E-08",0,0,0,0,0,0,package://xe/meshes/imu_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://xe/meshes/imu_link.STL,,ww-1,imu,Axis_imu_joint,imu_joint,fixed,"0,041053","-0,00054419","0,035","1,5708",0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
lidar_link,"2,57295383802175E-05","7,69064725775542E-05","0,00499999999999966",0,0,0,"0,001","1,66666666666667E-08","2,6165528822695E-24","1,43503459110712E-25","1,66666666666667E-08","-6,8429748696306E-26","1,66666666666667E-08",0,0,0,0,0,0,package://xe/meshes/lidar_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://xe/meshes/lidar_link.STL,,ww-4,Coordinate System2,,lidar_joint,fixed,"0,046053",0,"0,11",0,0,"3,1416",base_link,0,0,0,,,,,,,,,,,,
